OBJECTID,Join_Count,TARGET_FID,PERMIT_YEAR,Class,PROJECT_DESCRIPTION,FINALED_DATE,CONTRACTOR,TOTAL_PAID,SUBAREA,NEIGHBORHOOD_AREA,Lat,Lon,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng
163,1,163,2017,Single family,Vehicle charging station,2017-03-13,NORTHWEST ELECTRIC & SOLAR,112,Southwest Bellevue,West Bellevue,47.590432,-122.205467,53,033,023900,53033023900,239,Census Tract 239,G5020,S,4649863,4222583,+47.5830719,-122.2002301,60367.62227
164,1,164,2015,Single family,Vehicle Charging Station,2015-12-18,NORTHWEST ELECTRIC & SOLAR,108,North Bellevue,Northwest Bellevue,47.63268,-122.197203,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
165,1,165,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-09-21,QUEEN ANNE ELECTRIC LLC,112,Factoria,Somerset,47.560269,-122.145652,53,033,024902,53033024902,249.02,Census Tract 249.02,G5020,S,2029984,0,+47.5653697,-122.1337183,27975.81893
166,1,166,2010,Single family,A Single-Family Alteration project installing { Receptacles }  - JOB#2761 - INSTALL EV CHARGING STATION,2010-12-21,EVERGREEN POWER SYSTEMS INC,87,Southwest Bellevue,West Bellevue,47.598097,-122.194787,53,033,023801,53033023801,238.01,Census Tract 238.01,G5020,S,3723442,0,+47.5957098,-122.1886970,31706.45671
167,1,167,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-03-17,NORTHWEST ELECTRIC & SOLAR,112,Downtown,Downtown,47.610174,-122.205594,53,033,023804,53033023804,238.04,Census Tract 238.04,G5020,S,1220954,0,+47.6132805,-122.1984660,17215.47321
168,1,168,2015,Single family,Vehicle Charging Station,2017-01-17,NORTHWEST ELECTRIC & SOLAR,108,North Bellevue,Northwest Bellevue,47.636061,-122.202175,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
169,1,169,2017,Single family,A Single Family Residential Addition to Existing Structure Project Installing {1-Vehicle Charging Station},2017-11-02,NORTHWEST ELECTRIC & SOLAR,112,Newcastle,Cougar Mountain / Lakemont,47.560245,-122.129013,53,033,024903,53033024903,249.03,Census Tract 249.03,G5020,S,4963596,0,+47.5508498,-122.1412595,43634.24626
170,1,170,2014,Single family,Install 240V plug for car charger.,2015-01-05,OWNER,106,Northeast Bellevue,Northeast Bellevue,47.622868,-122.092181,53,033,023000,53033023000,230,Census Tract 230,G5020,S,3286160,2508903,+47.6205810,-122.1031787,42037.02737
171,1,171,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-01-08,SEATOWN ELECTRIC CORP,112,Newcastle,Cougar Mountain / Lakemont,47.554414,-122.133801,53,033,024903,53033024903,249.03,Census Tract 249.03,G5020,S,4963596,0,+47.5508498,-122.1412595,43634.24626
172,1,172,2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2015-06-26,PUGET SOUND SOLAR LLC,108,Southeast Bellevue,Lake Hills,47.599591,-122.131751,53,033,023300,53033023300,233,Census Tract 233,G5020,S,3589676,248744,+47.6003452,-122.1289619,28242.6615
173,1,173,2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-11-16,SEAHURST ELECTRIC INC,115,Eastgate,Lake Hills,47.589366,-122.152698,53,033,023401,53033023401,234.01,Census Tract 234.01,G5020,S,3740203,0,+47.5867489,-122.1467322,29383.38189
174,1,174,2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-11-08,SEAHURST ELECTRIC INC,110,Newcastle,Cougar Mountain / Lakemont,47.559423,-122.122044,53,033,024903,53033024903,249.03,Census Tract 249.03,G5020,S,4963596,0,+47.5508498,-122.1412595,43634.24626
175,1,175,2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Car Charger Install,2011-04-15,PRIME ELECTRIC INC,98,Wilburton/ne 8th St,Lake Hills,47.612154,-122.149833,53,033,023603,53033023603,236.03,Census Tract 236.03,G5020,S,2028190,0,+47.6173977,-122.1508058,19036.74562
176,1,176,2015,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (3 Added or Altered Branch Circuits), inside of home, install car charging circuit, bath fan heater",2016-01-12,SWITCH ELECTRIC LLC,204,Bridle Trails,Bridle Trails,47.649678,-122.155535,53,033,022801,53033022801,228.01,Census Tract 228.01,G5020,S,4865268,0,+47.6464310,-122.1532208,31441.82175
177,1,177,2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-09-30,ELECTRI-CITY INC,110,Northeast Bellevue,Northeast Bellevue,47.61953,-122.11185,53,033,023100,53033023100,231,Census Tract 231,G5020,S,2531810,2665265,+47.6067132,-122.1114759,42893.63106
178,1,178,2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-11-16,SEATOWN ELECTRIC CORP,115,Southwest Bellevue,West Bellevue,47.597497,-122.209948,53,033,023900,53033023900,239,Census Tract 239,G5020,S,4649863,4222583,+47.5830719,-122.2002301,60367.62227
179,1,179,2016,Single family,Vehicle charging station,2016-10-25,NORTHWEST ELECTRIC & SOLAR,110,Southeast Bellevue,Lake Hills,47.597075,-122.139144,53,033,023300,53033023300,233,Census Tract 233,G5020,S,3589676,248744,+47.6003452,-122.1289619,28242.6615
180,1,180,2014,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station) **add on: replace the meter and reseed the existing panel,2014-03-14,Exact Electric LLC,106,Newcastle,Eastgate,47.569339,-122.14184,53,033,024902,53033024902,249.02,Census Tract 249.02,G5020,S,2029984,0,+47.5653697,-122.1337183,27975.81893
181,1,181,2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-07-06,ARTISAN ELECTRIC INC,110,Crossroads,Crossroads,47.623547,-122.138389,53,033,023201,53033023201,232.01,Census Tract 232.01,G5020,S,1589789,0,+47.6186062,-122.1375409,18583.74069
182,1,182,2014,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-02-25,NORTHWEST ELECTRIC & SOLAR,106,Newcastle,Cougar Mountain / Lakemont,47.543969,-122.119174,53,033,025003,53033025003,250.03,Census Tract 250.03,G5020,S,6352436,0,+47.5567201,-122.1081035,47155.78558
183,1,183,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-10-20,ACTIVE ENGINEERING,112,Newcastle,Cougar Mountain / Lakemont,47.559624,-122.129789,53,033,024903,53033024903,249.03,Census Tract 249.03,G5020,S,4963596,0,+47.5508498,-122.1412595,43634.24626
184,1,184,2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Involving (1 Vehicle Charging Station), outside garage",2014-01-10,PUGET SOUND SOLAR LLC,105,Eastgate,Eastgate,47.574393,-122.125051,53,033,024800,53033024800,248,Census Tract 248,G5020,S,3775702,0,+47.5743916,-122.1521009,42358.52973
185,1,185,2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Charger Installation,2012-02-13,PRIME ELECTRIC INC,98,Bridle Trails,Bridle Trails,47.653379,-122.160191,53,033,022801,53033022801,228.01,Census Tract 228.01,G5020,S,4865268,0,+47.6464310,-122.1532208,31441.82175
186,1,186,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-12-04,SEATOWN ELECTRIC CORP,112,Southwest Bellevue,West Bellevue,47.598302,-122.201834,53,033,023900,53033023900,239,Census Tract 239,G5020,S,4649863,4222583,+47.5830719,-122.2002301,60367.62227
187,1,187,2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Car Charger Install,2011-06-01,PRIME ELECTRIC INC,98,Southeast Bellevue,Lake Hills,47.609048,-122.156468,53,033,023604,53033023604,236.04,Census Tract 236.04,G5020,S,2940216,0,+47.5993896,-122.1539499,27994.02792
188,1,188,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-03-29,SEATOWN ELECTRIC CORP,112,Southwest Bellevue,West Bellevue,47.600753,-122.194982,53,033,023801,53033023801,238.01,Census Tract 238.01,G5020,S,3723442,0,+47.5957098,-122.1886970,31706.45671
189,1,189,2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Car Charging Station Install,2011-04-25,PRIME ELECTRIC INC,98,Southeast Bellevue,Lake Hills,47.60153,-122.145499,53,033,023604,53033023604,236.04,Census Tract 236.04,G5020,S,2940216,0,+47.5993896,-122.1539499,27994.02792
190,1,190,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-03-24,ARTISAN ELECTRIC INC,112,Southwest Bellevue,West Bellevue,47.5961,-122.199105,53,033,023900,53033023900,239,Census Tract 239,G5020,S,4649863,4222583,+47.5830719,-122.2002301,60367.62227
191,1,191,2014,Multifamily,"A Multifamily Residential Alteration to Existing Structure Electrical Project Involving (2 Vehicle Charging Station), 1144728 - (2) EV chargers near garage entry",2016-07-12,PRIME ELECTRIC INC,282,Downtown,Downtown,47.619273,-122.196948,53,033,023803,53033023803,238.03,Census Tract 238.03,G5020,S,563963,0,+47.6192542,-122.1978584,12000.2931
192,1,192,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-08-14,LUKE ELECTRIC LLC,112,Newcastle,West Lake Sammamish,47.571164,-122.108661,53,033,023403,53033023403,234.03,Census Tract 234.03,G5020,S,3308890,1972210,+47.5817847,-122.1151458,37216.96137
193,1,193,2011,Single family,A Single-Family Replacement project installing { Added or Altered Branch Circuits }  - Installation of new Electric Vehicle Charging Station,2011-05-17,PRIME ELECTRIC INC,98,Northeast Bellevue,Northeast Bellevue,47.62557,-122.109319,53,033,023000,53033023000,230,Census Tract 230,G5020,S,3286160,2508903,+47.6205810,-122.1031787,42037.02737
194,1,194,2017,Single family,A Single Family Residential New Structure Electrical Project Involving (1 Vehicle Charging Station),2017-02-02,QUEEN ANNE ELECTRIC LLC,112,Newcastle,Cougar Mountain / Lakemont,47.557787,-122.130443,53,033,024902,53033024902,249.02,Census Tract 249.02,G5020,S,2029984,0,+47.5653697,-122.1337183,27975.81893
195,1,195,2015,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), Garage",2015-07-07,WEST SEATTLE NATRL ENERGY LLC,108,Eastgate,West Lake Sammamish,47.579422,-122.118629,53,033,023403,53033023403,234.03,Census Tract 234.03,G5020,S,3308890,1972210,+47.5817847,-122.1151458,37216.96137
196,1,196,2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, in garage, EVSE",2013-03-08,PUGET SOUND SOLAR LLC,105,North Bellevue,Northwest Bellevue,47.635012,-122.20382,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
197,1,197,2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-06-15,ELECTRI-CITY INC,110,North Bellevue,Northwest Bellevue,47.623857,-122.209504,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
198,1,198,2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, Will mount EVSE next to panel in garage",2013-03-22,LADY ELECTRIC LLC,105,Bridle Trails,Bridle Trails,47.633736,-122.150859,53,033,022801,53033022801,228.01,Census Tract 228.01,G5020,S,4865268,0,+47.6464310,-122.1532208,31441.82175
199,1,199,2015,Multifamily,"A Single Family Condo Unit Alteration to Existing Structure Electrical Project Involving (1 Receptacles, 1 Added or Altered Branch Circuits), Garage, Installation of electric car charging unit.",2016-07-19,SCOTTCO ELECTRIC INC,116,North Bellevue,Northwest Bellevue,47.610913,-122.208759,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
200,1,200,2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, garage",2013-06-14,ACTIVE ENGINEERING,105,Newcastle,Cougar Mountain / Lakemont,47.551789,-122.115683,53,033,025003,53033025003,250.03,Census Tract 250.03,G5020,S,6352436,0,+47.5567201,-122.1081035,47155.78558
201,1,201,2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2015-09-15,NORTHWEST ELECTRIC & SOLAR,108,Southwest Bellevue,West Bellevue,47.604646,-122.194315,53,033,023801,53033023801,238.01,Census Tract 238.01,G5020,S,3723442,0,+47.5957098,-122.1886970,31706.45671
202,1,202,2016,Single family,A Single Family Residential Repair or Replacement Electrical Project Involving (1 Vehicle Charging Station),2016-10-13,OWNER,110,North Bellevue,Northwest Bellevue,47.637891,-122.206447,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
203,1,203,2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Added or Altered Branch Circuits), GARAGE (SE#329045), INSTALL CIRCUIT FOR EV CHARGING",2014-09-18,SEAHURST ELECTRIC INC,62,North Bellevue,Northwest Bellevue,47.625377,-122.196258,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
204,1,204,2018,Single family,A Single Family Residential New Structure Electrical Project Involving (1 Vehicle Charging Station),2018-11-20,OWNER,115,Newcastle,Cougar Mountain / Lakemont,47.541592,-122.136277,53,033,024903,53033024903,249.03,Census Tract 249.03,G5020,S,4963596,0,+47.5508498,-122.1412595,43634.24626
205,1,205,2017,Single family,A Single Family Residential Alteration to Existing Structure Project Installing {1-Vehicle Charging Station},2017-12-06,NORTHWEST ELECTRIC & SOLAR,112,Southeast Bellevue,West Lake Sammamish,47.592308,-122.112108,53,033,023100,53033023100,231,Census Tract 231,G5020,S,2531810,2665265,+47.6067132,-122.1114759,42893.63106
206,1,206,2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-09-29,ELECTRI-CITY INC,110,Factoria,Newport,47.568888,-122.192348,53,033,023900,53033023900,239,Census Tract 239,G5020,S,4649863,4222583,+47.5830719,-122.2002301,60367.62227
207,1,207,2013,Single family,A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station},2013-06-25,SOLARCITY CORPORATION,105,Southeast Bellevue,Lake Hills,47.602601,-122.145989,53,033,023604,53033023604,236.04,Census Tract 236.04,G5020,S,2940216,0,+47.5993896,-122.1539499,27994.02792
208,1,208,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-08-24,ARTISAN ELECTRIC INC,112,Southwest Bellevue,West Bellevue,47.59662,-122.202759,53,033,023900,53033023900,239,Census Tract 239,G5020,S,4649863,4222583,+47.5830719,-122.2002301,60367.62227
209,1,209,2012,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, south exterior of home, EV charging station",2013-02-11,PUGET SOUND SOLAR LLC,102,Bridle Trails,Bridle Trails,47.653699,-122.153463,53,033,022801,53033022801,228.01,Census Tract 228.01,G5020,S,4865268,0,+47.6464310,-122.1532208,31441.82175
210,1,210,2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), car charger location next to panel in garage, Home owners # 919.423.6742  contractor 206.571.0291",2015-01-16,Volt-Tech Electrical Services,106,Southwest Bellevue,West Bellevue,47.588369,-122.195207,53,033,023900,53033023900,239,Census Tract 239,G5020,S,4649863,4222583,+47.5830719,-122.2002301,60367.62227
211,1,211,2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-11-21,NORTHWEST ELECTRIC & SOLAR,115,Northeast Bellevue,Northeast Bellevue,47.614065,-122.109062,53,033,023100,53033023100,231,Census Tract 231,G5020,S,2531810,2665265,+47.6067132,-122.1114759,42893.63106
212,1,212,2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Charging Station Install,2011-04-08,PRIME ELECTRIC INC,98,Factoria,Somerset,47.566633,-122.15779,53,033,024901,53033024901,249.01,Census Tract 249.01,G5020,S,3183749,0,+47.5633033,-122.1575188,30570.04849
213,1,213,2016,Single family,"1 Vehicle charging station, 1 Service change 200 amps",2016-02-29,CORE ELECTRIC LLC,110,Newport Hills,Newport,47.558741,-122.183223,53,033,024701,53033024701,247.01,Census Tract 247.01,G5020,S,2739207,0,+47.5614775,-122.1808594,30173.28144
214,1,214,2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-10-06,NORTHWEST ELECTRIC & SOLAR,110,Northeast Bellevue,Northeast Bellevue,47.625482,-122.106829,53,033,023000,53033023000,230,Census Tract 230,G5020,S,3286160,2508903,+47.6205810,-122.1031787,42037.02737
215,1,215,2016,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), EV charger",2016-01-12,PUGET SOUND SOLAR LLC,110,Factoria,Somerset,47.564175,-122.164865,53,033,024901,53033024901,249.01,Census Tract 249.01,G5020,S,3183749,0,+47.5633033,-122.1575188,30570.04849
216,1,216,2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), garage",2016-02-25,ALL WIRE ELECTRIC INC,106,Southeast Bellevue,Lake Hills,47.590033,-122.130128,53,033,023300,53033023300,233,Census Tract 233,G5020,S,3589676,248744,+47.6003452,-122.1289619,28242.6615
217,1,217,2016,Single family,Vehicle charging station,2017-03-13,NORTHWEST ELECTRIC & SOLAR,110,Bridle Trails,Bridle Trails,47.639914,-122.153606,53,033,022801,53033022801,228.01,Census Tract 228.01,G5020,S,4865268,0,+47.6464310,-122.1532208,31441.82175
218,1,218,2016,Single family,Vehicle charging station,2016-03-30,NORTHWEST ELECTRIC & SOLAR,110,North Bellevue,Northwest Bellevue,47.620448,-122.221118,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
219,1,219,2016,Single family,Install 11.97W PV System on roof ** add on 2-220 volt outlets for an EV charger.,2016-06-29,Solterra Systems,489,Factoria,Somerset,47.568396,-122.160843,53,033,024901,53033024901,249.01,Census Tract 249.01,G5020,S,3183749,0,+47.5633033,-122.1575188,30570.04849
220,1,220,2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-10-25,BEL-RED ELECTRIC SERVICE INC,110,Factoria,Newport,47.552181,-122.195769,53,033,023900,53033023900,239,Census Tract 239,G5020,S,4649863,4222583,+47.5830719,-122.2002301,60367.62227
221,1,221,2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-11-20,BRIGHT & RIGHT ELECT SRVS LLC,115,Richards Valley,Woodridge,47.592032,-122.167066,53,033,023500,53033023500,235,Census Tract 235,G5020,S,2273132,0,+47.5913824,-122.1728599,21843.19463
222,1,222,2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-11-21,NORTHWEST ELECTRIC & SOLAR,115,Factoria,Newport,47.573399,-122.177894,53,033,024701,53033024701,247.01,Census Tract 247.01,G5020,S,2739207,0,+47.5614775,-122.1808594,30173.28144
223,1,223,2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-11-28,24/7 ELECTRICAL COMPANY,115,Factoria,Somerset,47.548591,-122.151023,53,033,024903,53033024903,249.03,Census Tract 249.03,G5020,S,4963596,0,+47.5508498,-122.1412595,43634.24626
224,1,224,2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Added or Altered Branch Circuits), Garage (SE#329135), Install circuit for EV charging",2014-10-06,SEAHURST ELECTRIC INC,58,Factoria,Newport,47.567229,-122.189553,53,033,023900,53033023900,239,Census Tract 239,G5020,S,4649863,4222583,+47.5830719,-122.2002301,60367.62227
225,1,225,2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-06-15,ELECTRI-CITY INC,110,Newcastle,Cougar Mountain / Lakemont,47.55269,-122.137504,53,033,024903,53033024903,249.03,Census Tract 249.03,G5020,S,4963596,0,+47.5508498,-122.1412595,43634.24626
226,1,226,2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-02-16,NORTHWEST ELECTRIC & SOLAR,108,Northeast Bellevue,Northeast Bellevue,47.620747,-122.096253,53,033,023000,53033023000,230,Census Tract 230,G5020,S,3286160,2508903,+47.6205810,-122.1031787,42037.02737
227,1,227,2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, garage",2013-02-21,PUGET SOUND SOLAR LLC,105,Newcastle,West Lake Sammamish,47.571883,-122.107885,53,033,023403,53033023403,234.03,Census Tract 234.03,G5020,S,3308890,1972210,+47.5817847,-122.1151458,37216.96137
228,1,228,2017,Single family,A Single Family Residential Alteration to Existing Structure Project Installing {1-Vehicle Charging Station} A Single Family Residential Alteration to Existing Structure Project Installing {1-Vehicle Charging Station},2017-11-27,NORTHWEST ELECTRIC & SOLAR,112,North Bellevue,Northwest Bellevue,47.616365,-122.217889,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
229,1,229,2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Charger Install,2011-08-22,PRIME ELECTRIC INC,98,North Bellevue,Northwest Bellevue,47.62834,-122.206665,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
230,1,230,2016,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), Garage, n/a, Both existing electrical panel and new EV charging station in Garage",2016-02-05,OWNER,110,Southeast Bellevue,Lake Hills,47.603577,-122.154851,53,033,023604,53033023604,236.04,Census Tract 236.04,G5020,S,2940216,0,+47.5993896,-122.1539499,27994.02792
231,1,231,2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-05-31,SEATOWN ELECTRIC CORP,110,Newcastle,Cougar Mountain / Lakemont,47.552692,-122.102845,53,033,025003,53033025003,250.03,Census Tract 250.03,G5020,S,6352436,0,+47.5567201,-122.1081035,47155.78558
232,1,232,2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-01-19,ELECTRI-CITY INC,110,Bridle Trails,Bridle Trails,47.648335,-122.150462,53,033,022801,53033022801,228.01,Census Tract 228.01,G5020,S,4865268,0,+47.6464310,-122.1532208,31441.82175
233,1,233,2011,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, garage",2011-12-29,MCKINSTRY ELECTRIC,98,Newcastle,West Lake Sammamish,47.586503,-122.112986,53,033,023403,53033023403,234.03,Census Tract 234.03,G5020,S,3308890,1972210,+47.5817847,-122.1151458,37216.96137
234,1,234,2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-09-29,SEAHURST ELECTRIC INC,110,Newcastle,Cougar Mountain / Lakemont,47.561916,-122.107685,53,033,025003,53033025003,250.03,Census Tract 250.03,G5020,S,6352436,0,+47.5567201,-122.1081035,47155.78558
235,1,235,2014,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-02-24,ALL WIRE ELECTRIC INC,106,Bridle Trails,Bridle Trails,47.634115,-122.162138,53,033,023700,53033023700,237,Census Tract 237,G5020,S,7530638,18305,+47.6327201,-122.1733574,44098.86056
236,1,236,2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-04-15,J & J Electric LLC,110,Southwest Bellevue,West Bellevue,47.597503,-122.196414,53,033,023801,53033023801,238.01,Census Tract 238.01,G5020,S,3723442,0,+47.5957098,-122.1886970,31706.45671
237,1,237,2016,Single family,Vehicle Charging Station,2017-02-27,NORTHWEST ELECTRIC & SOLAR,110,Newcastle,Cougar Mountain / Lakemont,47.552969,-122.1094,53,033,025003,53033025003,250.03,Census Tract 250.03,G5020,S,6352436,0,+47.5567201,-122.1081035,47155.78558
238,1,238,2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), GARAGE, SME WILL INSTALL (1) NEMA 14-50R RECEPTACLE IN GARAGE FOR TESLA",2014-10-24,S M E INC OF SEATTLE,106,Newcastle,Cougar Mountain / Lakemont,47.56315,-122.139281,53,033,024902,53033024902,249.02,Census Tract 249.02,G5020,S,2029984,0,+47.5653697,-122.1337183,27975.81893
239,1,239,2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), electrical room/ residence, installation of a electric vehicle charging station",2014-07-18,PUGET SOUND SOLAR LLC,106,Newcastle,Cougar Mountain / Lakemont,47.545891,-122.117712,53,033,025003,53033025003,250.03,Census Tract 250.03,G5020,S,6352436,0,+47.5567201,-122.1081035,47155.78558
240,1,240,2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-11-27,APOLLO ELECTRICAL SERVICES LLC,115,Factoria,Somerset,47.559263,-122.14905,53,033,024902,53033024902,249.02,Census Tract 249.02,G5020,S,2029984,0,+47.5653697,-122.1337183,27975.81893
241,1,241,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-09-08,BEL-RED ELECTRIC SERVICE INC,112,North Bellevue,Northwest Bellevue,47.619684,-122.211187,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
242,1,242,2017,Single family,Vehicle Charging Station,2018-01-18,NORTHWEST ELECTRIC & SOLAR,112,Southwest Bellevue,West Bellevue,47.583553,-122.189857,53,033,023900,53033023900,239,Census Tract 239,G5020,S,4649863,4222583,+47.5830719,-122.2002301,60367.62227
243,1,243,2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Car Charger Install,2011-04-13,PRIME ELECTRIC INC,98,Northeast Bellevue,Northeast Bellevue,47.627544,-122.110412,53,033,023000,53033023000,230,Census Tract 230,G5020,S,3286160,2508903,+47.6205810,-122.1031787,42037.02737
244,1,244,2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-06-03,PUGET SOUND SOLAR LLC,110,Newport Hills,Newport,47.543631,-122.171328,53,033,025001,53033025001,250.01,Census Tract 250.01,G5020,S,3531217,28798,+47.5380627,-122.1693928,39024.04961
245,1,245,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-04-18,ELECTRI-CITY INC,112,Factoria,Newport,47.570776,-122.1824,53,033,023900,53033023900,239,Census Tract 239,G5020,S,4649863,4222583,+47.5830719,-122.2002301,60367.62227
